Num_of_particle,a_dd,a_s,grid_start_point,omega,size_of_grid,step_size
1000,0.00080000000000000004,0.002,-30,1,1000,0.059999999999999998

index,real,imag
284,4.7193295022029673,0
285,4.7305561269880059,0
286,4.7417042560784122,0
287,4.7527744419719644,0
288,4.7637672281825019,0
289,4.7746831494326747,0
290,4.7855227318412323,0
291,4.7962864931051348,0
292,4.8069749426765558,0
293,4.8175885819350528,0
294,4.8281279043550214,0
295,4.8385933956685188,0
296,4.8489855340237691,0
297,4.859304790139344,0
298,4.8695516274542285,0
299,4.8797265022738827,0
300,4.8898298639124747,0
301,4.8998621548313332,0
302,4.9098238107738048,0
303,4.9197152608965959,0
304,4.9295369278976953,0
305,4.9392892281410603,0
306,4.9489725717780422,0
307,4.9585873628657948,0
308,4.9681339994826361,0
309,4.9776128738405383,0
310,4.9870243723947905,0
311,4.9963688759508944,0
312,5.0056467597689158,0
313,5.0148583936651452,0
314,5.0240041421113437,0
315,5.033084364331553,0
316,5.0420994143965441,0
317,5.0510496413159833,0
318,5.0599353891284364,0
319,5.0687569969891522,0
320,5.0775147992557867,0
321,5.0862091255721467,0
322,5.0948403009498771,0
323,5.1034086458483019,0
324,5.1119144762523883,0
325,5.1203581037488721,0
326,5.1287398356006717,0
327,5.1370599748195609,0
328,5.1453188202371853,0
329,5.1535166665744772,0
330,5.1616538045094726,0
331,5.1697305207436228,0
332,5.1777470980666118,0
333,5.1857038154196804,0
334,5.1936009479576333,0
335,5.2014387671093827,0
336,5.209217540637205,0
337,5.2169375326946668,0
338,5.2245990038833225,0
339,5.2322022113081301,0
340,5.2397474086317066,0
341,5.2472348461273803,0
342,5.2546647707311234,0
343,5.2620374260923573,0
344,5.2693530526236705,0
345,5.2766118875495112,0
346,5.2838141649538048,0
347,5.2909601158265893,0
348,5.2980499681096784,0
349,5.3050839467413544,0
350,5.3120622737001391,0
351,5.3189851680476554,0
352,5.3258528459705632,0
353,5.3326655208217115,0
354,5.3394234031603629,0
355,5.3461267007916433,0
356,5.3527756188051585,0
357,5.3593703596128508,0
358,5.3659111229860725,0
359,5.3723981060919126,0
360,5.378831503528767,0
361,5.3852115073612792,0
362,5.39153830715445,0
363,5.3978120900071911,0
364,5.4040330405851362,0
365,5.4102013411528169,0
366,5.4163171716052307,0
367,5.4223807094987526,0
368,5.428392130081436,0
369,5.4343516063227799,0
370,5.4402593089427995,0
371,5.4461154064406747,0
372,5.4519200651227004,0
373,5.4576734491298042,0
374,5.4633757204644526,0
375,5.4690270390170834,0
376,5.4746275625920386,0
377,5.4801774469329345,0
378,5.4856768457476281,0
379,5.4911259107326398,0
380,5.4965247915971132,0
381,5.5018736360864029,0
382,5.5071725900050783,0
383,5.512421797239619,0
384,5.5176213997805705,0
385,5.5227715377443776,0
386,5.5278723493947179,0
387,5.5329239711635161,0
388,5.5379265376714706,0
389,5.542880181748286,0
390,5.5477850344524562,0
391,5.5526412250907136,0
392,5.5574488812370904,0
393,5.5622081287516529,0
394,5.5669190917988303,0
395,5.5715818928654608,0
396,5.5761966527784805,0
397,5.5807634907222665,0
398,5.5852825242556507,0
399,5.5897538693286544,0
400,5.5941776402988488,0
401,5.5985539499475054,0
402,5.6028829094953307,0
403,5.6071646286179986,0
404,5.6113992154613381,0
405,5.6155867766562606,0
406,5.6197274173334053,0
407,5.623821241137513,0
408,5.6278683502415063,0
409,5.6318688453603514,0
410,5.6358228257646372,0
411,5.6397303892938631,0
412,5.6435916323695245,0
413,5.6474066500079774,0
414,5.6511755358329463,0
415,5.6548983820879535,0
416,5.6585752796483577,0
417,5.6622063180332711,0
418,5.6657915854172129,0
419,5.6693311686415422,0
420,5.672825153225677,0
421,5.6762736233780782,0
422,5.6796766620070311,0
423,5.683034350731285,0
424,5.68634676989035,0
425,5.6896139985547256,0
426,5.6928361145358544,0
427,5.6960131943959018,0
428,5.6991453134573451,0
429,5.7022325458123984,0
430,5.7052749643321832,0
431,5.7082726406757871,0
432,5.7112256452991073,0
433,5.714134047463503,0
434,5.7169979152443187,0
435,5.7198173155391698,0
436,5.7225923140761319,0
437,5.7253229754216974,0
438,5.7280093629885869,0
439,5.7306515390434285,0
440,5.7332495647142183,0
441,5.7358034999976821,0
442,5.7383134037664325,0
443,5.7407793337759925,0
444,5.7432013466716514,0
445,5.7455794979952026,0
446,5.7479138421915037,0
447,5.7502044326148862,0
448,5.7524513215354425,0
449,5.7546545601451413,0
450,5.7568141985638182,0
451,5.7589302858450617,0
452,5.7610028699818567,0
453,5.7630319979122167,0
454,5.7650177155245874,0
455,5.7669600676631578,0
456,5.7688590981330492,0
457,5.7707148497053158,0
458,5.7725273641218822,0
459,5.774296682100335,0
460,5.7760228433385556,0
461,5.777705886519251,0
462,5.7793458493143515,0
463,5.780942768389326,0
464,5.7824966794073074,0
465,5.7840076170331214,0
466,5.7854756149372486,0
467,5.7869007057995896,0
468,5.7882829213131242,0
469,5.7896222921875236,0
470,5.7909188481525717,0
471,5.7921726179614907,0
472,5.7933836293941763,0
473,5.7945519092602975,0
474,5.7956774834022502,0
475,5.7967603766981153,0
476,5.79780061306435,0
477,5.7987982154584889,0
478,5.7997532058816743,0
479,5.8006656053811101,0
480,5.8015354340523704,0
481,5.8023627110416545,0
482,5.8031474545478821,0
483,5.8038896818246881,0
484,5.8045894091823609,0
485,5.8052466519896226,0
486,5.8058614246753111,0
487,5.8064337407299806,0
488,5.8069636127073965,0
489,5.80745105222588,0
490,5.8078960699696163,0
491,5.8082986756898167,0
492,5.8086588782057849,0
493,5.8089766854058764,0
494,5.8092521042483982,0
495,5.8094851407623107,0
496,5.8096758000479651,0
497,5.8098240862775716,0
498,5.8099300026957401,0
499,5.8099935516197894,0
500,5.8100147344400037,0
501,5.8099935516197911,0
502,5.8099300026957401,0
503,5.8098240862775716,0
504,5.8096758000479669,0
505,5.8094851407623125,0
506,5.8092521042483982,0
507,5.80897668540588,0
508,5.8086588782057804,0
509,5.8082986756898114,0
510,5.807896069969618,0
511,5.8074510522258853,0
512,5.8069636127074,0
513,5.8064337407299869,0
514,5.8058614246753164,0
515,5.8052466519896218,0
516,5.8045894091823591,0
517,5.8038896818246828,0
518,5.8031474545478821,0
519,5.802362711041658,0
520,5.8015354340523713,0
521,5.8006656053811048,0
522,5.7997532058816725,0
523,5.7987982154584898,0
524,5.7978006130643553,0
525,5.7967603766981108,0
526,5.7956774834022529,0
527,5.7945519092602922,0
528,5.7933836293941798,0
529,5.7921726179614925,0
530,5.7909188481525709,0
531,5.7896222921875236,0
532,5.7882829213131277,0
533,5.7869007057995869,0
534,5.7854756149372539,0
535,5.7840076170331214,0
536,5.7824966794073065,0
537,5.7809427683893269,0
538,5.7793458493143506,0
539,5.7777058865192483,0
540,5.776022843338553,0
541,5.7742966821003341,0
542,5.7725273641218875,0
543,5.7707148497053131,0
544,5.7688590981330483,0
545,5.7669600676631578,0
546,5.7650177155245892,0
547,5.7630319979122175,0
548,5.7610028699818612,0
549,5.7589302858450635,0
550,5.7568141985638235,0
551,5.7546545601451422,0
552,5.7524513215354425,0
553,5.7502044326148889,0
554,5.7479138421915064,0
555,5.7455794979952,0
556,5.7432013466716505,0
557,5.7407793337759925,0
558,5.7383134037664343,0
559,5.7358034999976866,0
560,5.7332495647142201,0
561,5.7306515390434267,0
562,5.7280093629885869,0
563,5.7253229754217019,0
564,5.7225923140761346,0
565,5.7198173155391752,0
566,5.7169979152443213,0
567,5.7141340474635047,0
568,5.7112256452991064,0
569,5.7082726406757907,0
570,5.705274964332185,0
571,5.7022325458123984,0
572,5.6991453134573495,0
573,5.6960131943959018,0
574,5.6928361145358517,0
575,5.6896139985547265,0
576,5.6863467698903518,0
577,5.6830343507312859,0
578,5.6796766620070347,0
579,5.6762736233780746,0
580,5.6728251532256779,0
581,5.6693311686415413,0
582,5.6657915854172076,0
583,5.662206318033272,0
584,5.6585752796483586,0
585,5.654898382087957,0
586,5.651175535832949,0
587,5.647406650007972,0
588,5.6435916323695281,0
589,5.6397303892938622,0
590,5.6358228257646381,0
591,5.6318688453603523,0
592,5.6278683502415072,0
593,5.6238212411375095,0
594,5.6197274173334089,0
595,5.6155867766562633,0
596,5.611399215461339,0
597,5.6071646286180004,0
598,5.602882909495329,0
599,5.5985539499475054,0
600,5.5941776402988506,0
601,5.5897538693286508,0
602,5.5852825242556579,0
603,5.5807634907222736,0
604,5.576196652778485,0
605,5.5715818928654617,0
606,5.566919091798824,0
607,5.5622081287516547,0
608,5.5574488812370983,0
609,5.5526412250907118,0
610,5.5477850344524544,0
611,5.5428801817482798,0
612,5.537926537671467,0
613,5.5329239711635161,0
614,5.5278723493947197,0
615,5.5227715377443802,0
616,5.5176213997805723,0
617,5.5124217972396181,0
618,5.5071725900050748,0
619,5.5018736360863967,0
620,5.4965247915971132,0
621,5.4911259107326336,0
622,5.485676845747629,0
623,5.4801774469329363,0
624,5.4746275625920378,0
625,5.4690270390170834,0
626,5.4633757204644473,0
627,5.4576734491298007,0
628,5.4519200651227004,0
629,5.4461154064406729,0
630,5.4402593089427977,0
631,5.4343516063227764,0
632,5.4283921300814395,0
633,5.4223807094987473,0
634,5.4163171716052334,0
635,5.4102013411528205,0
636,5.4040330405851336,0
637,5.3978120900071955,0
638,5.3915383071544518,0
639,5.3852115073612783,0
640,5.3788315035287697,0
641,5.3723981060919055,0
642,5.3659111229860725,0
643,5.359370359612849,0
644,5.3527756188051532,0
645,5.3461267007916442,0
646,5.3394234031603656,0
647,5.3326655208217106,0
648,5.3258528459705676,0
649,5.3189851680476501,0
650,5.3120622737001399,0
651,5.3050839467413544,0
652,5.2980499681096758,0
653,5.2909601158265875,0
654,5.2838141649538093,0
655,5.2766118875495147,0
656,5.2693530526236732,0
657,5.262037426092359,0
658,5.2546647707311234,0
659,5.2472348461273839,0
660,5.2397474086317049,0
661,5.2322022113081337,0
662,5.2245990038833225,0
663,5.2169375326946703,0
664,5.2092175406372077,0
665,5.201438767109388,0
